Category,Category in detail,Pureesha pareeksha,Search Term for Feature of pureesha,Reference
Cause,Inappropriate administration as cause for Sannipaataja atisaara (Cause),Atisaara,Inappropriate administration as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Non-administration of therapeutics as cause for Sannipaataja atisaara (Cause),Atisaara,Non-administration of therapeutics as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Excessive exposure to fire as cause for Sannipaataja atisaara (Cause),Atisaara,Excessive exposure to fire as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Hot rays of the sun as cause for Sannipaataja atisaara (Cause),Atisaara,Hot rays of the sun as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Strong wind as cause for Sannipaataja atisaara (Cause),Atisaara,Strong wind as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Bath etc. in strong current of water as cause for Sannipaataja atisaara (Cause),Atisaara,Bath etc. in strong current of water as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Not sleeping as cause for Sannipaataja atisaara (Cause),Atisaara,Not sleeping as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Sleeping in excess as cause for Sannipaataja atisaara (Cause),Atisaara,Sleeping in excess as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Suppression of natural urges as cause for Sannipaataja atisaara (Cause),Vega,Suppression of natural urges as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Not resorting to appropriate regimens during different seasons as cause for Sannipaataja atisaara (Cause),Atisaara,Not resorting to appropriate regimens during different seasons as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Over courageous attitude as cause for Sannipaataja atisaara (Cause),Atisaara,Over courageous attitude as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Excessive exposure to fear as cause for Sannipaataja atisaara (Cause),Atisaara,Excessive exposure to fear as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Excessive exposure to grief as cause for Sannipaataja atisaara (Cause),Atisaara,Excessive exposure to grief as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Excessive exposure to anxiety as cause for Sannipaataja atisaara (Cause),Atisaara,Excessive exposure to anxiety as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Emaciation due to worm infestation as cause for Sannipaataja atisaara (Cause),Atisaara,Emaciation due to worm infestation as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Emaciation due to consumption as cause for Sannipaataja atisaara (Cause),Atisaara,Emaciation due to consumption as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Emaciation due to fever as cause for Sannipaataja atisaara (Cause),Atisaara,Emaciation due to fever as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Cause,Emaciation due to piles (bleeding) as cause for Sannipaataja atisaara (Cause),Atisaara,Emaciation due to piles (bleeding) as cause for Sannipaataja atisaara (Cause),Ch. Chi. 19. 8
Disease,Different stool colours based on dosha  - Sannipaataja atisaara  (Disease feature),Atisaara,Loose feces with Different colour feces,Ch. Chi. 19. 9
Disease,Different stool colours based on dhaatu - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Different colour feces,Ch. Chi. 19. 9
Disease,Yellow like turmeric stool - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Yellow feces,Ch. Chi. 19. 9
Disease,Green stool - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Green feces,Ch. Chi. 19. 9
Disease,Blue stool - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Blue feces,Ch. Chi. 19. 9
Disease,Reddish like manjishta stool - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Red feces,Ch. Chi. 19. 9
Disease,Pink stool - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Pink feces,Ch. Chi. 19. 9
Disease,Red stool - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Red feces,Ch. Chi. 19. 9
Disease,Black stool - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Black feces,Ch. Chi. 19. 9
Disease,White stool - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Pale or white feces,Ch. Chi. 19. 9
Disease,Yellowish like pig fat stool - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Yellow feces,Ch. Chi. 19. 9
Disease,Continous pain in abdomen - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with abdominal pain,Ch. Chi. 19. 9
Disease,Free from any pain in abdomen - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces without pain,Ch. Chi. 19. 9
Disease,Scybalous stool - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Hard feces,Ch. Chi. 19. 9
Disease,Scybalous stool mixed with mucus- Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Hard feces with mucus,Ch. Chi. 19. 9
Disease,Scybalous stool mixed with out mucus- Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Hard feces without mucus,Ch. Chi. 19. 9
Disease,Depletion of muscle tissue - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with reduced muscle tissue,Ch. Chi. 19. 9
Disease,Depletion of blood - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with reduced blood,Ch. Chi. 19. 9
Disease,Depletion of strength - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with reduced stength,Ch. Chi. 19. 9
Disease,Suppressed agni - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with reduced digestion,Ch. Chi. 19. 9
Disease,Impairment of taste in mouth - Kricchra saadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with impaired taste perception,Ch. Chi. 19. 9
Disease,Stool with dark blood - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Dark blood mixed feces,Ch. Chi. 19. 9
Disease,Stool like piece of liver - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with discharge appearing piece of liver,Ch. Chi. 19. 9
Disease,Stool like appearance like washing of fat - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces appearing washing of fat,Ch. Chi. 19. 9
Disease,Stool like appearance like washing of flesh - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces appearing washing of flesh,Ch. Chi. 19. 9
Disease,Stool like appearance like curd - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces appearing curd,Ch. Chi. 19. 9
Disease,Stool like appearance like ghee - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces appearing ghee,Ch. Chi. 19. 9
Disease,Stool like appearance like marrow - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces appearing marrow,Ch. Chi. 19. 9
Disease,Stool like appearance like fat - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces appearing fat,Ch. Chi. 19. 9
Disease,Stool like appearance like milk - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces appearing milk,Ch. Chi. 19. 9
Disease,Stool like appearance like vesavara - minced meat - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces appearing minced meat,Ch. Chi. 19. 9
Disease,Dark blue stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Dark blue feces,Ch. Chi. 19. 9
Disease,Dark red stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Dark red feces,Ch. Chi. 19. 9
Disease,Dark black stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Dark black feces,Ch. Chi. 19. 9
Disease,Clear water like stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Clear water feces,Ch. Chi. 19. 9
Disease,Exceedingly greasy stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Greasy feces,Ch. Chi. 19. 9
Disease,Green coloured stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Green feces,Ch. Chi. 19. 9
Disease,Blue coloured stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Blue feces,Ch. Chi. 19. 9
Disease,Saffron coloured stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Saffron feces,Ch. Chi. 19. 9
Disease,Turbid stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Turbid feces,Ch. Chi. 19. 9
Disease,Slimy stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Slimy feces,Ch. Chi. 19. 9
Disease,Fibrous stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Fibrous feces,Ch. Chi. 19. 9
Disease,Mixed with mucus stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Mucus mixed feces,Ch. Chi. 19. 9
Disease,Colored patches circular in shape and shining like moon appearing stool - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Circular shiny patch on feces,Ch. Chi. 19. 9
Disease,Stool exceedingly bad smell like dead body or putrid smell - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Foul smelling feces,Ch. Chi. 19. 9
Disease,Stool bears the smell of undigested products or like raw fish - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Foul smelling feces,Ch. Chi. 19. 9
Disease,Stool attracts flies in excess - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Flies attracted to feces,Ch. Chi. 19. 9
Disease,Stool contains slough and tissue elements in excess - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Slough and tissue in feces,Ch. Chi. 19. 9
Disease,Stool contains less or no fecal matter  - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with Reduced quantity of feces,Ch. Chi. 19. 9
Disease,Morbid thirst - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with thirst,Ch. Chi. 19. 9
Disease,Burning sensation - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with burning sensation,Ch. Chi. 19. 9
Disease,Fever - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with fever,Ch. Chi. 19. 9
Disease,Giddiness - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with giddiness,Ch. Chi. 19. 9
Disease,Fainting - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with fainting,Ch. Chi. 19. 9
Disease,Hiccup  - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with hiccup,Ch. Chi. 19. 9
Disease,Dyspnea  - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with dyspnea,Ch. Chi. 19. 9
Disease,Exceessive pain - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with excess pain,Ch. Chi. 19. 9
Disease,No pain - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces without pain,Ch. Chi. 19. 9
Disease,Prolapse of anal canal - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with anal canal prolapse,Ch. Chi. 19. 9
Disease,Inflammation of anal canal - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with inflammation of anal canal,Ch. Chi. 19. 9
Disease,Inflammation of anal sphincter - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with inflammation of anal sphincter,Ch. Chi. 19. 9
Disease,Whole of the rectum comes out - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with rectal prolapse,Ch. Chi. 19. 9
Disease,Loss of strength - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with loss of strength,Ch. Chi. 19. 9
Disease,Loss of muscle tissue - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with loss of muscle tissue,Ch. Chi. 19. 9
Disease,Loss of blood - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with loss of blood,Ch. Chi. 19. 9
Disease,Pain in all joints and bone - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with joint and bone pain,Ch. Chi. 19. 9
Disease,Sudden cessation of signs and symptoms - Asaadhya - Sannipaataja atisaara (Disease feature),Atisaara,Loose feces with sudden ceasing of signs and symptoms,Ch. Chi. 19. 9
Cause,Fear as cause for Aagantuja atisaara (Cause),Atisaara,Fear as cause for Aagantuja atisaara (Cause),Ch. Chi. 19. 11
Cause,Grief as cause for Aagantuja atisaara (Cause),Atisaara,Grief as cause for Aagantuja atisaara (Cause),Ch. Chi. 19. 11
Disease,Slimy stool with mucus - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with slimy feces with mucus,Ch. Chi. 19. 11
Disease,Stool floats on water - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with floating stool on water,Ch. Chi. 19. 11
Disease,"Stool, when placed over the earth, gets soaked - Aagantuja atisaara feature (Disease feature)",Atisaara,Loose feces which soaks earthen,Ch. Chi. 19. 11
Disease,"Stool is rough (i.e., not oily)  - Aagantuja atisaara feature (Disease feature)",Atisaara,Loose feces with rough nature,Ch. Chi. 19. 11
Disease,Stool is liquid  - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with being  more liquid,Ch. Chi. 19. 11
Disease,Evacuation of stool is accompanied with colic pain - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with colic pain,Ch. Chi. 19. 11
Disease,Stool smells like undigested food  - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with foul smelling feces,Ch. Chi. 19. 11
Disease,Evacuation of stool is associated with little or no sound - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with little or no sound,Ch. Chi. 19. 11
Disease,Evacuation of the stool is not accompanied with flatus and urine - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces without flatus and urine,Ch. Chi. 19. 11
Disease,Gurgling sound - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with gurgling sound,Ch. Chi. 19. 11
Disease,Colic pain -  Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with colic pain,Ch. Chi. 19. 11
Disease,Evacuates hard stool in small quantities - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with hard stools in less quantity,Ch. Chi. 19. 11
Disease,Evacuation of stool is associated with sound - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with sound,Ch. Chi. 19. 11
Disease,Stool is frothy - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with Frothy,Ch. Chi. 19. 11
Disease,Stool is slimy - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with slimy feces,Ch. Chi. 19. 11
Disease,Griping pain  - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with gripping pain,Ch. Chi. 19. 11
Disease,Horripilation - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with horripilation,Ch. Chi. 19. 11
Disease,Groaning - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with groaning,Ch. Chi. 19. 11
Disease,Dryness of the mouth - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with dryness of mouth,Ch. Chi. 19. 11
Disease,Pain in the lumbar region - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with lumbar pain,Ch. Chi. 19. 11
Disease,Pain in the thighs - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with pain in thighs,Ch. Chi. 19. 11
Disease,Pain in the sacral region - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with sacral pain,Ch. Chi. 19. 11
Disease,Pain in the knees - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with knee pain,Ch. Chi. 19. 11
Disease,Pain in the back - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with back pain,Ch. Chi. 19. 11
Disease,Pain in the sides of chest - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with side chest pain,Ch. Chi. 19. 11
Disease,Prolapse of the rectum - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with prolapse of rectum,Ch. Chi. 19. 11
Disease,Evacuates scybalous stool frequently - Aagantuja atisaara feature (Disease feature),Atisaara,Loose feces with rectal prolapse,Ch. Chi. 19. 11
Treatment,Treatment for atisaara (Treatment),Atisaara,Treatment for atisaara (Treatment),Ch. Chi. 19. 14-19
Treatment,Management ofdiarrhea associated with pain (Treatment),Atisaara,Management ofdiarrhea associated with pain (Treatment),Ch. Chi. 19. 30-33
Treatment,Khada preparation for pravaahika (Treatment),Pravaahika,Khada preparation for pravaahika (Treatment),Ch. Chi. 19. 34
Treatment,Treatment for varcho vibandha (Treatment),Varcho,Treatment for varcho vibandha (Treatment),Ch. Chi. 19. 47-49
Treatment,Treatment for blood in stool (Treatment),Varcho,Treatment for blood in stool (Treatment),Ch. Chi. 19. 47-49
Treatment,Treatment for mucus in stool (Treatment),Varcho,Treatment for mucus in stool (Treatment),Ch. Chi. 19. 47-49
Treatment,Treatment for pravaahika (Treatment),Pravaahika,Treatment for pravaahika (Treatment),Ch. Chi. 19. 47-49
Treatment,Treatment for pittaja atisaara (Treatment),Atisaara,Treatment for pittaja atisaara (Treatment),Ch. Chi. 19. 50
Treatment,Recipes for pittaja atisaara (Treatment),Atisaara,Recipes for pittaja atisaara (Treatment),Ch. Chi. 19. 52-55
Disease,Pittaja atisaara upadrava (Disease feature),Atisaara,Loose feces with hard feces,Ch. Chi. 19. 69-70
Treatment,Treatment for rakta atisaara (Treatment),Atisaara,Treatment for rakta atisaara (Treatment),Ch. Chi. 19. 77-79
Disease,Charddhi asaadya lakshana - Vomitus having color of feces (Disease feature),Vid,Vomitus with fecal colour,Ch. Chi. 20. 16
Disease,Charddhi asaadya lakshana - Vomitus having odour of feces (Disease feature),Vid,Vomitus with fecal odour,Ch. Chi. 20. 16
Advise,Indication of shodhana in charddhi (Advise),Shodhana,Indication of shodhana in charddhi (Advise),Ch. Chi. 20. 20
Advise,Indication of virechana in charddhi (Advise),Virechana,Indication of virechana in charddhi (Advise),Ch. Chi. 20. 21
Disease,Pureesha rodha as feature in Vaataja visarpa (Disease feature),Pureesha,Obstruction of feces,Ch. Chi. 21. 30
Disease,Greenish feces as feature in Pittaja visarpa (Disease feature),Varcha,Green feces,Ch. Chi. 21. 32
Disease,Yellowish feces as feature in Pittaja visarpa (Disease feature),Varcha,Yellow feces,Ch. Chi. 21. 32
Disease,Pale feces as feature in Kaphaja visarpa (Disease feature),Varcha,Pale or white feces,Ch. Chi. 21. 34
Disease,Atisaara as feature in Vaata Kaphaja visarpa (Disease feature),Atisaara,Loose feces,Ch. Chi. 21. 36
Disease,Atisaara as feature in Granthi visarpa (Disease feature),Atisaara,Loose feces,Ch. Chi. 21. 39
Cause,Not doing panchakarma as a cause for Granthi visarpa (Cause),Karma,Not doing panchakarma as a cause for Granthi visarpa (Cause),Ch. Chi. 21. 39
Advise,Indication of virechana in visarpa (Advise),Virechana,Indication of virechana in visarpa (Advise),Ch. Chi. 21. 45-49
Advise,Indication of virechana in visarpa (Advise),Virechana,Indication of virechana in visarpa (Advise),Ch. Chi. 21. 64-67
Advise,Ati virechana as cause for thirst (Cause),Virechana,Ati virechana as cause for thirst (Cause),Ch. Chi. 22. 4
Disease,Yellowish feces as feature in Pittaja trushna (Disease feature),Varcha,Yellow feces,Ch. Chi. 22.13-14
Disease,Aadhmaana as feature in Aamaja trushna (Disease feature),Aadhmaana,Obstruction of feces,Ch. Chi. 22. 15
Advise,Indication of warm water post shodhana (Advise),Shodhana,Indication of warm water post shodhana (Advise),Ch. Chi. 22. 58
Disease,Atisaara as feature of Jaangama visha (Disease feature),Atisaara,Loose feces,Ch. Chi. 23. 4
Disease,Atisaara as feature of visha if located in pitta sthaana in  pitta prakruti (Disease feature),Atisaara,Loose feces,Ch. Chi. 23. 29
Advise,Virechana in chatur vimshadi upakrama (Advise),Virechana,Virechana in chatur vimshadi upakrama (Advise),Ch. Chi. 23. 35-37
Disease,Atisaara as feature of Pittaja madaatyaya (Disease feature),Atisaara,Loose feces,Ch. Chi. 24. 93-94
Disease,Atisaara as feature of Sannipaataja madaatyaya (Disease feature),Atisaara,Loose feces,Ch. Chi. 24. 101-106
Advise,Indication of virechana in pittaja vruna (Advise),Virechana,Indication of virechana in pittaja vruna (Advise),Ch. Chi. 25. 14
Advise,Indication of shodhana in vruna (Advise),Shodhana,Indication of shodhana in vruna (Advise),Ch. Chi. 25.38
Cause,Vega Dhaarana as cause for Udaavarta (Cause),Vega,Vega Dhaarana as cause for Udaavarta (Cause),Ch. Chi. 26.5
Disease,Retention of stool as feature of Udaavarta (Disease feature),Vid,Obstruction of feces,Ch. Chi. 26. 6-9
Disease,Delayed evacuation of dry stool as feature of Udaavarta (Disease feature),Vid,Delayed defecation,Ch. Chi. 26. 6-9
Disease,Difficulty in evacuation of dry stool as feature of Udaavarta (Disease feature),Vid,Difficulty in defecation,Ch. Chi. 26. 6-9
Disease,Pravaahika as feature of Udaavarta (Disease feature),Vid,Defecation with tenesmus,Ch. Chi. 26. 6-9
Advise,Indication of snigdha virechana in udaavarta (Advise),Virechana,Indication of snigdha virechana in udaavarta (Advise),Ch. Chi. 26. 11
Advise,Indication of basti for retention of stool in udaavarta (Advise),Varcha,Indication of basti for retention of stool in udaavarta (Advise),Ch. Chi. 26. 16
Advise,Indication of virechana in udaavarta (Advise),Virechana,Indication of virechana in udaavarta (Advise),Ch. Chi. 26. 19
Advise,Indication of dvi uttara hingvaadi choorna for visoochika (Advise),Visoochika,Indication of dvi uttara hingvaadi choorna for visoochika (Advise),Ch. Chi. 26. 20
Advise,Indication of virechana in meda aavruta vaata (Advise),Virechana,Indication of virechana in meda aavruta vaata (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in pitta aavruta vaata (Advise),Virechana,Indication of virechana in pitta aavruta vaata (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in rakta aavruta vaata (Advise),Virechana,Indication of virechana in rakta aavruta vaata (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in gulma (Advise),Virechana,Indication of virechana in gulma (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in udara (Advise),Virechana,Indication of virechana in udara (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in bradna (Advise),Virechana,Indication of virechana in bradna (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in arshas (Advise),Virechana,Indication of virechana in arshas (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in pleeha udara (Advise),Virechana,Indication of virechana in pleeha udara (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in udaavarta (Advise),Virechana,Indication of virechana in udaavarta (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in gridrasi (Advise),Virechana,Indication of virechana in gridrasi (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in pakshaagaata (Advise),Virechana,Indication of virechana in pakshaagaata (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in shukravaha srotodushti (Advise),Virechana,Indication of virechana in shukravaha srotodushti (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana in medo roga (Advise),Virechana,Indication of virechana in medo roga (Advise),Ch. Chi. 26. 27-29
Advise,Indication of virechana for Vaataja disorders with medha kapha rakta pitta (Advise),Virechana,Indication of virechana for Vaataja disorders with medha kapha rakta pitta (Advise),Ch. Chi. 26. 30-31
Advise,Indication of virechana in udaavarta (Advise),Virechana,Indication of virechana in udaavarta (Advise),Ch. Chi. 26. 49
Advise,Indication of virechana in udaavarta (Advise),Virechana,Indication of virechana in udaavarta (Advise),Ch. Chi. 26. 58
Advise,Vega sandhaarana as Mootra kricchra apathya (Advise),Vega,Vega sandhaarana as Mootra kricchra apathya (Advise),Ch. Chi. 26. 76
Advise,Indication of virechana in udaavarta (Advise),Virechana,Indication of virechana in udaavarta (Advise),Ch. Chi. 26.77
Advise,Indication of virechana in udaavarta (Advise),Virechana,Indication of virechana in udaavarta (Advise),Ch. Chi. 26. 90
Advise,Indication of snigdha virechana in udaavarta (Advise),Virechana,Indication of snigdha virechana in udaavarta (Advise),Ch. Chi. 26. 102
Advise,Indication of teekshna virechana in udaavarta (Advise),Virechana,Indication of teekshna virechana in udaavarta (Advise),Ch. Chi. 26. 102
Cause,Vega sandhaarana as cause for pratishyaaya (Cause),Vega,Vega sandhaarana as cause for pratishyaaya (Cause),Ch. Chi. 26. 104
Advise,Indication of virechana in mukha roga (Advise),Virechana,Indication of virechana in mukha roga (Advise),Ch. Chi. 26. 187
Advise,Indication of teekshna virechana in kaphaja svarabheda (Advise),Virechana,Indication of teekshna virechana in kaphaja svarabheda (Advise),Ch. Chi. 26. 286
Cause,Vega vidhaarana as cause for urustambha (Cause),Vega,Vega vidhaarana as cause for urustambha (Cause),Ch. Chi. 27. 8-11
Advise,Contraindication of virechana in urustambha (Advise),Virechana,Contraindication of virechana in urustambha (Advise),Ch. Chi. 27. 20-24
Physiology,Apaana vaayu expelling shakrut (Physiology),Shakrut,Apaana vaayu expelling shakrut (Physiology),Ch. Chi. 28. 10-11
Cause,Vega vidhaarana as cause for vaata vyaadhi (Cause),Vega,Vega vidhaarana as cause for vaata vyaadhi (Cause),Ch. Chi. 28. 15-19
Disease,Varcha rodha as feature of koshta aashrita vaata (Disease feature),Varcha,Obstruction of feces,Ch. Chi. 28. 24
Disease,Vid rodha as feature of guda aashrita vaata (Disease feature),Vid,Obstruction of feces,Ch. Chi. 28. 26
Disease,Visoochika as feature in Aamaashaya sthita vaata (Disease feature),Visoochika,Defecation with pain,Ch. Chi. 28. 27
Disease,Difficulty in defecation as feature in pakwaashaya sthita vaata (Disease feature),Pureesha,Difficulty in defecation,Ch. Chi. 28. 28
Advise,Contraindication of virechana in vaata vyaadhi (Advise),Virechana,Contraindication of virechana in vaata vyaadhi (Advise),Ch. Chi. 28. 86
Advise,Benefits of mridu shodhana in vaata vyaadhi (Advise),Shodhana,Benefits of mridu shodhana in vaata vyaadhi (Advise),Ch. Chi. 28. 87
Advise,Indication of virechana in rakta dushti (Advise),Virechana,Indication of virechana in rakta dushti (Advise),Ch. Chi. 28. 92
Advise,Indication of virechana in shukra rodha (Advise),Virechana,Indication of virechana in shukra rodha (Advise),Ch. Chi. 28. 94
Advise,Indication of virechana in pakshaaghaata (Advise),Virechana,Indication of virechana in pakshaaghaata (Advise),Ch. Chi. 28. 100-101
Advise,Indication of virechana in pitta aavruta vaata (Advise),Virechana,Indication of virechana in pitta aavruta vaata (Advise),Ch. Chi. 28. 187
Advise,Indication of virechana (Advise),Virechana,Indication of virechana (Advise),Ch. Chi. 28. 198
Advise,Indication of virechana in praana aavruta samaana (advise),Virechana,Indication of virechana in praana aavruta samaana (advise),Ch. Chi. 28. 204
Disease,Apaana aavruta udaana feature as Atisaara (Disease feature),Atisaara,Loose feces,Ch. Chi. 28. 210
Disease,Vyaana aavruta apaana feature as aadhmaana (Disease feature),Aadhmaana,Obstruction of feces,Ch. Chi. 28. 211
Disease,Apaana aavruta vyaana feature as Excess discharge of feces (Disease feature),Pureesha,Increased quantity of feces,Ch. Chi. 28. 212
Disease,Pitta aavruta apaana feature as Yellow feces (Disease feature),Pureesha,Yellow feces,Ch. Chi. 28. 229
Disease,Kapha aavruta apaana feature as Loose feces (Disease feature),Pureesha,Loose feces,Ch. Chi. 28. 230
Disease,Kapha aavruta apaana feature as Heavy feces (Disease feature),Pureesha,Heavy feces,Ch. Chi. 28. 230
Disease,Kapha aavruta apaana feature as mixed with undigested matter feces (Disease feature),Pureesha,Feces with undigested food,Ch. Chi. 28. 230
